timestamp,time_elapsed,host_name,event_name,cpu_id,process_details,kernel_details
06:13:02.227912438,++0.000003750,mendax,syscall_exit_accept,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 576, upeer_sockaddr = 246916502706648, upeer_addrlen = 246916502706640"
06:13:02.227914646,++0.000002208,synthetic-host,syscall_entry_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, cmd = 3, arg = 50"
06:13:02.227914980,++0.000000334,synthetic-host,syscall_exit_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 2, arg = 50"
06:13:02.227916313,++0.000001333,synthetic-host,syscall_entry_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, usockaddr_len = 246916502706368"
06:13:02.227916771,++0.000000458,mendax,syscall_exit_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, usockaddr = 246916502706376, usockaddr_len = 246916502706368"
06:13:02.227927646,++0.000003292,synthetic-host,syscall_entry_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 6, optname = 1, optval = 246916502705868, optlen = 4"
06:13:02.227928063,++0.000000417,synthetic-host,syscall_exit_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859",ret = 0
06:13:02.227928771,++0.000000708,synthetic-host,syscall_entry_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 1, optname = 7, optlen = 246916502705996"
06:13:02.227929146,++0.000000375,mendax,syscall_exit_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, optval = 246916502706080, optlen = 246916502705996"
06:13:02.227912438,++0.000003750,mendax,syscall_exit_accept,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 576, upeer_sockaddr = 246916502706648, upeer_addrlen = 246916502706640"
06:13:02.227914646,++0.000002208,synthetic-host,syscall_entry_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, cmd = 3, arg = 50"
06:13:02.227914980,++0.000000334,synthetic-host,syscall_exit_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 2, arg = 50"
06:13:02.227916313,++0.000001333,synthetic-host,syscall_entry_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, usockaddr_len = 246916502706368"
06:13:02.227916771,++0.000000458,mendax,syscall_exit_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, usockaddr = 246916502706376, usockaddr_len = 246916502706368"
06:13:02.227927646,++0.000003292,synthetic-host,syscall_entry_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 6, optname = 1, optval = 246916502705868, optlen = 4"
06:13:02.227928063,++0.000000417,synthetic-host,syscall_exit_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859",ret = 0
06:13:02.227928771,++0.000000708,synthetic-host,syscall_entry_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 1, optname = 7, optlen = 246916502705996"
06:13:02.227929146,++0.000000375,mendax,syscall_exit_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, optval = 246916502706080, optlen = 246916502705996"
06:13:02.227912438,++0.000003750,mendax,syscall_exit_accept,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 576, upeer_sockaddr = 246916502706648, upeer_addrlen = 246916502706640"
06:13:02.227914646,++0.000002208,synthetic-host,syscall_entry_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, cmd = 3, arg = 50"
06:13:02.227914980,++0.000000334,synthetic-host,syscall_exit_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 2, arg = 50"
06:13:02.227916313,++0.000001333,synthetic-host,syscall_entry_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, usockaddr_len = 246916502706368"
06:13:02.227916771,++0.000000458,mendax,syscall_exit_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, usockaddr = 246916502706376, usockaddr_len = 246916502706368"
06:13:02.227927646,++0.000003292,synthetic-host,syscall_entry_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 6, optname = 1, optval = 246916502705868, optlen = 4"
06:13:02.227928063,++0.000000417,synthetic-host,syscall_exit_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859",ret = 0
06:13:02.227928771,++0.000000708,synthetic-host,syscall_entry_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 1, optname = 7, optlen = 246916502705996"
06:13:02.227929146,++0.000000375,mendax,syscall_exit_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, optval = 246916502706080, optlen = 246916502705996"
06:13:02.227912438,++0.000003750,mendax,syscall_exit_accept,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 576, upeer_sockaddr = 246916502706648, upeer_addrlen = 246916502706640"
06:13:02.227914646,++0.000002208,synthetic-host,syscall_entry_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, cmd = 3, arg = 50"
06:13:02.227914980,++0.000000334,synthetic-host,syscall_exit_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 2, arg = 50"
06:13:02.227916313,++0.000001333,synthetic-host,syscall_entry_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, usockaddr_len = 246916502706368"
06:13:02.227916771,++0.000000458,mendax,syscall_exit_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, usockaddr = 246916502706376, usockaddr_len = 246916502706368"
06:13:02.227927646,++0.000003292,synthetic-host,syscall_entry_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 6, optname = 1, optval = 246916502705868, optlen = 4"
06:13:02.227928063,++0.000000417,synthetic-host,syscall_exit_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859",ret = 0
06:13:02.227928771,++0.000000708,synthetic-host,syscall_entry_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 1, optname = 7, optlen = 246916502705996"
06:13:02.227929146,++0.000000375,mendax,syscall_exit_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, optval = 246916502706080, optlen = 246916502705996"
06:13:02.227912438,++0.000003750,mendax,syscall_exit_accept,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 576, upeer_sockaddr = 246916502706648, upeer_addrlen = 246916502706640"
06:13:02.227914646,++0.000002208,synthetic-host,syscall_entry_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, cmd = 3, arg = 50"
06:13:02.227914980,++0.000000334,synthetic-host,syscall_exit_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 2, arg = 50"
06:13:02.227916313,++0.000001333,synthetic-host,syscall_entry_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, usockaddr_len = 246916502706368"
06:13:02.227916771,++0.000000458,mendax,syscall_exit_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, usockaddr = 246916502706376, usockaddr_len = 246916502706368"
06:13:02.227927646,++0.000003292,synthetic-host,syscall_entry_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 6, optname = 1, optval = 246916502705868, optlen = 4"
06:13:02.227928063,++0.000000417,synthetic-host,syscall_exit_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859",ret = 0
06:13:02.227928771,++0.000000708,synthetic-host,syscall_entry_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 1, optname = 7, optlen = 246916502705996"
06:13:02.227929146,++0.000000375,mendax,syscall_exit_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, optval = 246916502706080, optlen = 246916502705996"
06:13:02.227912438,++0.000003750,mendax,syscall_exit_accept,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 576, upeer_sockaddr = 246916502706648, upeer_addrlen = 246916502706640"
06:13:02.227914646,++0.000002208,synthetic-host,syscall_entry_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, cmd = 3, arg = 50"
06:13:02.227914980,++0.000000334,synthetic-host,syscall_exit_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 2, arg = 50"
06:13:02.227916313,++0.000001333,synthetic-host,syscall_entry_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, usockaddr_len = 246916502706368"
06:13:02.227916771,++0.000000458,mendax,syscall_exit_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, usockaddr = 246916502706376, usockaddr_len = 246916502706368"
06:13:02.227927646,++0.000003292,synthetic-host,syscall_entry_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 6, optname = 1, optval = 246916502705868, optlen = 4"
06:13:02.227928063,++0.000000417,synthetic-host,syscall_exit_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859",ret = 0
06:13:02.227928771,++0.000000708,synthetic-host,syscall_entry_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 1, optname = 7, optlen = 246916502705996"
06:13:02.227929146,++0.000000375,mendax,syscall_exit_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, optval = 246916502706080, optlen = 246916502705996"
06:13:02.227912438,++0.000003750,mendax,syscall_exit_accept,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 576, upeer_sockaddr = 246916502706648, upeer_addrlen = 246916502706640"
06:13:02.227914646,++0.000002208,synthetic-host,syscall_entry_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, cmd = 3, arg = 50"
06:13:02.227914980,++0.000000334,synthetic-host,syscall_exit_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 2, arg = 50"
06:13:02.227916313,++0.000001333,synthetic-host,syscall_entry_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, usockaddr_len = 246916502706368"
06:13:02.227916771,++0.000000458,mendax,syscall_exit_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, usockaddr = 246916502706376, usockaddr_len = 246916502706368"
06:13:02.227927646,++0.000003292,synthetic-host,syscall_entry_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 6, optname = 1, optval = 246916502705868, optlen = 4"
06:13:02.227928063,++0.000000417,synthetic-host,syscall_exit_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859",ret = 0
06:13:02.227928771,++0.000000708,synthetic-host,syscall_entry_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 1, optname = 7, optlen = 246916502705996"
06:13:02.227929146,+0.000000375,mendax,syscall_exit_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, optval = 246916502706080, optlen = 246916502705996"
06:13:02.227912438,++0.000003750,mendax,syscall_exit_accept,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 576, upeer_sockaddr = 246916502706648, upeer_addrlen = 246916502706640"
06:13:02.227914646,++0.000002208,synthetic-host,syscall_entry_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, cmd = 3, arg = 50"
06:13:02.227914980,++0.000000334,synthetic-host,syscall_exit_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 2, arg = 50"
06:13:02.227916313,++0.000001333,synthetic-host,syscall_entry_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, usockaddr_len = 246916502706368"
06:13:02.227916771,+0.000000458,mendax,syscall_exit_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, usockaddr = 246916502706376, usockaddr_len = 246916502706368"
06:13:02.227927646,++0.000003292,synthetic-host,syscall_entry_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 6, optname = 1, optval = 246916502705868, optlen = 4"
06:13:02.227928063,++0.000000417,synthetic-host,syscall_exit_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859",ret = 0
06:13:02.227928771,++0.000000708,synthetic-host,syscall_entry_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 1, optname = 7, optlen = 246916502705996"
06:13:02.227929146,+0.000000375,mendax,syscall_exit_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, optval = 246916502706080, optlen = 246916502705996"
06:13:02.227912438,++0.000003750,mendax,syscall_exit_accept,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 576, upeer_sockaddr = 246916502706648, upeer_addrlen = 246916502706640"
06:13:02.227914646,++0.000002208,synthetic-host,syscall_entry_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, cmd = 3, arg = 50"
06:13:02.227914980,++0.000000334,synthetic-host,syscall_exit_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 2, arg = 50"
06:13:02.227916313,++0.000001333,synthetic-host,syscall_entry_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, usockaddr_len = 246916502706368"
06:13:02.227916771,+0.000000458,mendax,syscall_exit_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, usockaddr = 246916502706376, usockaddr_len = 246916502706368"
06:13:02.227927646,++0.000003292,synthetic-host,syscall_entry_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 6, optname = 1, optval = 246916502705868, optlen = 4"
06:13:02.227928063,++0.000000417,synthetic-host,syscall_exit_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859",ret = 0
06:13:02.227928771,+0.000000708,synthetic-host,syscall_entry_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 1, optname = 7, optlen = 246916502705996"
06:13:02.227929146,+0.000000375,mendax,syscall_exit_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, optval = 246916502706080, optlen = 246916502705996"
06:13:02.227912438,++0.000003750,mendax,syscall_exit_accept,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 576, upeer_sockaddr = 246916502706648, upeer_addrlen = 246916502706640"
06:13:02.227914646,++0.000002208,synthetic-host,syscall_entry_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, cmd = 3, arg = 50"
06:13:02.227914980,++0.000000334,synthetic-host,syscall_exit_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 2, arg = 50"
06:13:02.227916313,++0.000001333,synthetic-host,syscall_entry_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, usockaddr_len = 246916502706368"
06:13:02.227916771,+0.000000458,mendax,syscall_exit_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, usockaddr = 246916502706376, usockaddr_len = 246916502706368"
06:13:02.227927646,++0.000003292,synthetic-host,syscall_entry_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 6, optname = 1, optval = 246916502705868, optlen = 4"
06:13:02.227928063,++0.000000417,synthetic-host,syscall_exit_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859",ret = 0
06:13:02.227928771,+0.000000708,synthetic-host,syscall_entry_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 1, optname = 7, optlen = 246916502705996"
06:13:02.227929146,+0.000000375,mendax,syscall_exit_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, optval = 246916502706080, optlen = 246916502705996"
06:13:02.227912438,++0.000003750,mendax,syscall_exit_accept,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 576, upeer_sockaddr = 246916502706648, upeer_addrlen = 246916502706640"
06:13:02.227914646,++0.000002208,synthetic-host,syscall_entry_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, cmd = 3, arg = 50"
06:13:02.227914980,++0.000000334,synthetic-host,syscall_exit_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 2, arg = 50"
06:13:02.227916313,++0.000001333,synthetic-host,syscall_entry_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, usockaddr_len = 246916502706368"
06:13:02.227916771,+0.000000458,mendax,syscall_exit_getsockname,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, usockaddr = 246916502706376, usockaddr_len = 246916502706368"
06:13:02.227927646,++0.000003292,synthetic-host,syscall_entry_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 6, optname = 1, optval = 246916502705868, optlen = 4"
06:13:02.227928063,+0.000000417,synthetic-host,syscall_exit_setsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859",ret = 0
06:13:02.227928771,+0.000000708,synthetic-host,syscall_entry_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, level = 1, optname = 7, optlen = 246916502705996"
06:13:02.227929146,+0.000000375,mendax,syscall_exit_getsockopt,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 0, optval = 246916502706080, optlen = 246916502705996"
06:13:02.227912438,++0.000003750,mendax,syscall_exit_accept,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 576, upeer_sockaddr = 246916502706648, upeer_addrlen = 246916502706640"
06:13:02.227914646,++0.000002208,synthetic-host,syscall_entry_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","fd = 576, cmd = 3, arg = 50"
06:13:02.227914980,++0.000000334,synthetic-host,syscall_exit_fcntl,2,"procname = elasticsearch[m, pid = 11822, tid = 11859","ret = 2, arg = 50"
